#========================================================================================================																																										
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																																		
#	GEAR_INDEX	DESCRIPTION																																								
#	1	:	Pot	fishery	retained	catch.																																				
#	1	:	Pot	fishery	with	discarded	catch.																																			
#	2	:	Trawl	bycatch																																						
#	3	:	Trawl	survey																																						
#	Fisheries:	1	Pot	"Fishery,"	2	Trawl	"by-catch,"																																			
#	Surveys:	3	NMFS	Trawl	"Survey,"																																					
#========================================================================================================																																										
1976	# Start	year																																								
2018	# End	year																																								
3	# Number of seasons																																									
3	# Number of fleets (fishing fleets and surveys)																																									
1	# Number of sexes																																									
1	# Number of shell condition types																																									
1	# Number of maturity types																																									
35	# Number of size-classes in the	model																																								
3	# Season recruitment occurs																																									
3	# Season molting and growth occurs																																									
3	# Season to calculate SSB																																									
1	# Season for N output																																									
#	size_breaks (a	vector	giving	the	break	points	between	size	"intervals,"	dim=nclass+1)																																
35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210							
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)																										
1																																										
#	Proportion of the total	natural	mortality to be	applied	each	season																																				
0.33 0.33 0.34  #made up; fix soon																																										
2007	1	3	1	1	0	0	100	0.01612903	0.06451613	0.1774194	0.1693548	0.1048387	0.06451613	0.01612903	0	0	0.008064516	0	0	0.008064516	0	0	0	0	0	0	0	0	0	0	0.008064516	0.02419355	0.03225806	0.06451613	0.07258064	0.07258064	0.02419355	0.04032258	0.01612903	0.008064516	0.008064516	0
2008	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1428571	0	0	0.07142857	0	0	0	0	0	0	0	0	0	0	0.2142857	0.1428571	0.2142857	0.07142857	0.1428571	0	0	0
2009	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01304348	0	0.02608696	0.02608696	0.02608696	0.03913043	0.05217391	0.01304348	0.02608696	0	0	0	0.01304348	0.01304348	0.06956522	0.06956522	0.1434783	0.1478261	0.1478261	0.06956522	0.04782609	0.05652174
2010	1	3	1	1	0	0	100	0	0	0	0	0	0.003289474	0	0	0	0.01644737	0	0	0.01315789	0.03947368	0.02631579	0.02631579	0.03947368	0.01315789	0.05263158	0.02960526	0.06907895	0.09210526	0.0625	0.02631579	0.01315789	0.01973684	0	0.003289474	0.09868421	0.1315789	0.07236842	0.05921053	0.05921053	0.02631579	0.006578947
2011	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0.01086957	0.01086957	0.06521739	0.04347826	0.04347826	0.02173913	0.0326087	0.02173913	0.04347826	0.04347826	0.04347826	0.02173913	0.06521739	0.05434783	0.04347826	0.01086957	0.01086957	0.02173913	0	0.01086957	0.09782609	0.08695652	0.1086957	0.04347826	0.02173913	0.02173913
2012	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01960784	0.01960784	0.05882353	0.05882353	0.1176471	0.1372549	0.1176471	0.09803922	0.09803922	0.07843137	0.03921569	0.03921569	0.03921569	0.01960784	0	0	0	0.03921569	0.01960784	0
2013	1	3	1	1	0	0	100	0	0	0	0	0	0.01593626	0.003984064	0	0	0	0	0	0	0	0	0.01593626	0.01593626	0.01992032	0.06772908	0.05976096	0.1155378	0.06374502	0.0438247	0.12749	0.06374502	0.0438247	0.1155378	0.03984064	0.03585657	0.01195219	0.05976096	0.01992032	0.0438247	0.01593626	0
2014	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01724138	0.01724138	0.01724138	0.03448276	0	0.06896552	0.05172414	0.03448276	0.0862069	0.06896552	0.137931	0.1034483	0.1034483	0.0862069	0.01724138	0	0.1034483	0.03448276	0	0.01724138
2015	1	3	1	1	0	0	100	0	0.01190476	0	0	0	0	0	0	0	0	0	0.04761905	0.01190476	0	0.04761905	0.04761905	0.05952381	0.03571429	0	0.01190476	0.01190476	0.05952381	0.04761905	0.08333333	0.0952381	0.1190476	0.07142857	0.04761905	0.0952381	0.03571429	0.03571429	0	0	0	0.02380952
2016	1	3	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04878049	0.01219512	0.02439024	0.03658537	0.01219512	0.01219512	0.02439024	0.03658537	0	0.04878049	0.08536585	0.1097561	0.09756098	0.08536585	0.06097561	0.1219512	0.06097561	0.1097561	0.01219512	0
